"Data Source","World Development Indicators",

"Last Updated Date","2016-06-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.80799984","6.09433321","6.14492202","7.75592576","5.72830824","5.78129974","5.78874692","5.97260274","5.74503291","5.70388241","5.22335314","5.31389324","6.33545578","6.5674086","6.75968963","7.99926652","6.70379149","7.54733741","11.4780464","8.12713561","",
"Afghanistan","AFG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.76307316","8.81605343","8.78670722","8.31028776","8.16559739","7.60510651","8.67813823","9.41897064","9.19772273","7.87199189","8.51891268","8.13486556","8.18227382","",
"Angola","AGO","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.45887795","2.81473208","3.4825593","3.33560211","3.37784418","2.78728366","5.38455772","3.63392075","4.40528442","4.70732007","4.10396002","4.54243749","3.38311163","3.84493395","4.37177378","3.39114609","3.3795827","3.30479422","4.26303169","3.30698293","",
"Albania","ALB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.59707903","7.43197435","7.56809993","6.94329921","6.86818989","6.2559844","6.00014389","6.30011348","6.26700723","6.37953469","6.11631076","5.86129625","6.10393525","5.86941616","5.79133946","5.33503501","5.71466526","5.58917285","5.65513948","5.88310543","",
"Arab World","ARB","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.70097138030432","3.69258053747392","3.8629561456397","4.17614555864717","4.27858303296857","4.11962522563511","4.39058810024915","4.41283357826762","4.19897677168522","3.93460868816068","3.57200547295183","3.52218075356885","3.62253861400783","3.53325395414224","4.57201083116352","4.16209592284906","4.09438110069084","4.38359100689517","4.64525738268904","4.84680214163138","",
"United Arab Emirates","ARE","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.63613172","2.45902483","2.48706386","2.89439211","2.71378769","2.37999034","2.48427471","2.71758304","2.64640737","2.46216142","2.32021865","2.32534364","2.56564188","2.92853487","4.04992386","3.92945183","3.7038587","3.44599956","3.48564353","3.64398564","",
"Argentina","ARG","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.31099274","8.02499359","8.36136161","8.53592553","9.35514932","9.21275669","9.37589012","8.31392968","8.21606274","6.84056093","6.84561938","6.68187054","6.49458405","6.66371839","7.63475841","6.55015616","5.89274265","5.01904817","4.98687258","4.78591616","",
"Armenia","ARM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.41873606","5.7907572","5.76758904","5.75617179","5.68179057","6.25348348","5.94041648","5.40041921","5.56388068","5.50118169","5.25211644","4.57775072","4.30883082","3.79932298","4.54532341","4.56226302","3.71354097","4.48215825","4.55022679","4.48014942","",
"American Samoa","ASM","Health expenditure, total (% of GDP)","SH.XPD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
